time,P1,P2,T11,T1,T21,Tnv,Tp
2019-11-01 00:00:00+03:00,7.5,3.6,48.8,67.6,42.7,2.89999999999998,20.28053097345131
2019-11-01 00:04:00+03:00,7.4,3.6,48.9,67.6,42.7,2.89999999999998,20.31946902654865
2019-11-01 00:08:00+03:00,7.5,3.6,48.9,67.6,42.7,2.89999999999998,20.31946902654865
2019-11-01 00:12:00+03:00,7.45,3.55,48.65,67.6,42.7,2.89999999999998,20.222123893805286
2019-11-01 00:16:00+03:00,7.4666666666666694,3.6,48.5833333333333,67.6,42.7,3.0,20.2961651917404
2019-11-01 00:20:00+03:00,7.5,3.55,48.45,67.65,42.7,3.0,20.24424778761062
2019-11-01 00:24:00+03:00,7.45,3.6,48.25,67.7,42.65,3.0,20.14690265486726
2019-11-01 00:28:00+03:00,7.5,3.6,48.15,67.7,42.55,3.0,20.06902654867256
2019-11-01 00:32:00+03:00,7.55,3.6,48.15,67.8,42.45,3.0,20.030088495575217
2019-11-01 00:36:00+03:00,7.55,3.6,48.05,67.8,42.35,3.1999999999999904,20.152212389380523
2019-11-01 00:40:00+03:00,7.5,3.6,48.15,67.85,42.25,3.1999999999999904,20.152212389380523
2019-11-01 00:44:00+03:00,7.55,3.6,48.0,67.9,42.15,3.1500000000000097,20.00486725663718
2019-11-01 00:48:00+03:00,7.6,3.6,48.05,67.9,42.1,3.10000000000002,19.95486725663719
2019-11-01 00:52:00+03:00,7.55,3.6,48.15,67.9,42.1,3.10000000000002,19.993805309734533
2019-11-01 00:56:00+03:00,7.5,3.55,48.1,67.9,42.1,3.10000000000002,19.97433628318586
2019-11-01 01:00:00+03:00,7.45,3.45,48.1,67.9,42.0,3.10000000000002,19.935398230088513
2019-11-01 01:04:00+03:00,7.55,3.5,48.2,67.9,42.0,3.10000000000002,19.97433628318586
2019-11-01 01:08:00+03:00,7.6,3.5,47.9,67.9,42.0,3.10000000000002,19.857522123893826
2019-11-01 01:12:00+03:00,7.6,3.5,48.1,67.9,42.0,3.10000000000002,19.935398230088513
2019-11-01 01:16:00+03:00,7.6,3.5,47.95,67.85,42.0,3.0,19.77699115044248
2019-11-01 01:20:00+03:00,7.5,3.5,48.0,67.8,42.0,3.0,19.79646017699115
2019-11-01 01:24:00+03:00,7.55,3.55,48.35,67.7,42.0,3.0,19.932743362831854
2019-11-01 01:28:00+03:00,7.6,3.55,48.45,67.7,42.1,3.0,20.010619469026555
2019-11-01 01:32:00+03:00,7.6,3.6,48.5,67.75,42.1,3.0,20.030088495575217
2019-11-01 01:36:00+03:00,7.5,3.55,48.55,67.8,42.15,3.1999999999999904,20.26902654867255
2019-11-01 01:40:00+03:00,7.55,3.5,48.4,67.85,42.25,3.1999999999999904,20.249557522123887
2019-11-01 01:44:00+03:00,7.55,3.5,48.45,68.0,42.3,3.1999999999999904,20.288495575221226
2019-11-01 01:48:00+03:00,7.55,3.55,48.5,68.1,42.35,3.1999999999999904,20.327433628318573
2019-11-01 01:52:00+03:00,7.5,3.55,48.4,68.2,42.35,3.1999999999999904,20.288495575221226
2019-11-01 01:56:00+03:00,7.5,3.5,48.35,68.25,42.3,3.3000000000000096,20.34955752212391
2019-11-01 02:00:00+03:00,7.5,3.5,47.95,68.3,42.3,3.3000000000000096,20.193805309734522
2019-11-01 02:04:00+03:00,7.55,3.5,47.95,68.3,42.3,3.25,20.143805309734514
2019-11-01 02:08:00+03:00,7.5,3.5,47.75,68.3,42.2,3.1999999999999904,19.976991150442473
2019-11-01 02:12:00+03:00,7.6,3.55,47.7,68.2,42.05,3.1999999999999904,19.89911504424778
2019-11-01 02:16:00+03:00,7.6,3.5,47.9,68.1,42.0,3.10000000000002,19.857522123893826
2019-11-01 02:20:00+03:00,7.55,3.6,48.05,68.1,41.9,3.10000000000002,19.87699115044249
2019-11-01 02:24:00+03:00,7.6,3.55,48.15,68.1,41.9,3.0500000000000096,19.865929203539828
2019-11-01 02:28:00+03:00,7.6,3.55,48.1,68.1,41.9,3.0,19.79646017699115
2019-11-01 02:32:00+03:00,7.6,3.6,48.5,68.1,41.9,3.0,19.952212389380534
2019-11-01 02:36:00+03:00,7.6,3.6,48.5,68.1,42.0,3.10000000000002,20.091150442477897
2019-11-01 02:40:00+03:00,7.6,3.6,48.55,68.05,42.1,3.10000000000002,20.149557522123917
2019-11-01 02:44:00+03:00,7.6,3.55,48.65,68.0,42.15,3.10000000000002,20.20796460176993
2019-11-01 02:48:00+03:00,7.6,3.6,48.7,67.9,42.2,3.10000000000002,20.24690265486728
2019-11-01 02:52:00+03:00,7.6,3.6,48.65,67.9,42.3,3.10000000000002,20.266371681415944
2019-11-01 02:56:00+03:00,7.6,3.6,48.7,67.9,42.4,3.10000000000002,20.324778761061964
2019-11-01 03:00:00+03:00,7.55,3.6,48.5,68.0,42.4,3.10000000000002,20.24690265486728
2019-11-01 03:04:00+03:00,7.5,3.6,48.5,68.0,42.4,3.10000000000002,20.24690265486728
2019-11-01 03:08:00+03:00,7.5,3.6,48.5,68.0,42.4,3.10000000000002,20.24690265486728
2019-11-01 03:12:00+03:00,7.5,3.55,48.5,68.0,42.4,3.10000000000002,20.24690265486728
2019-11-01 03:16:00+03:00,7.55,3.6,48.45,68.0,42.4,3.10000000000002,20.2274336283186
2019-11-01 03:20:00+03:00,7.6,3.6,48.4,68.1,42.3,3.10000000000002,20.16902654867258
2019-11-01 03:24:00+03:00,7.6,3.6,48.4,68.1,42.3,3.10000000000002,20.16902654867258
2019-11-01 03:28:00+03:00,7.55,3.6,48.4,68.1,42.3,3.10000000000002,20.16902654867258
2019-11-01 03:32:00+03:00,7.6,3.6,48.5,68.2,42.3,3.10000000000002,20.20796460176993
2019-11-01 03:36:00+03:00,7.6,3.6,48.4,68.2,42.3,3.1999999999999904,20.26902654867255
2019-11-01 03:40:00+03:00,7.55,3.6,48.45,68.3,42.3,3.1999999999999904,20.288495575221226
2019-11-01 03:44:00+03:00,7.6,3.6,48.5,68.4,42.3,3.1999999999999904,20.307964601769903
2019-11-01 03:48:00+03:00,7.6,3.6,48.4,68.4,42.3,3.1999999999999904,20.26902654867255
2019-11-01 03:52:00+03:00,7.6,3.6,48.4,68.4,42.3,3.1999999999999904,20.26902654867255
2019-11-01 03:56:00+03:00,7.6,3.6,48.25,68.4,42.3,3.3000000000000096,20.310619469026555
2019-11-01 04:00:00+03:00,7.6,3.6,48.15,68.4,42.3,3.3000000000000096,20.27168141592921
2019-11-01 04:04:00+03:00,7.6,3.6,48.1,68.4,42.3,3.3000000000000096,20.252212389380546
2019-11-01 04:08:00+03:00,7.6,3.6,48.0,68.4,42.2,3.3000000000000096,20.174336283185852
2019-11-01 04:12:00+03:00,7.6,3.6,47.9,68.4,42.1,3.3000000000000096,20.096460176991158
2019-11-01 04:16:00+03:00,7.6,3.6,47.75,68.45,42.05,3.3000000000000096,20.01858407079647
2019-11-01 04:20:00+03:00,7.6,3.55,47.75,68.45,42.0,3.3000000000000096,19.999115044247795
2019-11-01 04:24:00+03:00,7.6,3.6,47.65,68.4,41.95,3.3000000000000096,19.940707964601778
2019-11-01 04:28:00+03:00,7.6,3.6,47.65,68.45,41.85,3.3000000000000096,19.90176991150443
2019-11-01 04:32:00+03:00,7.6,3.5,47.8,68.5,41.8,3.3000000000000096,19.940707964601778
2019-11-01 04:36:00+03:00,7.6,3.6,47.7,68.45,41.8,3.3000000000000096,19.90176991150443
2019-11-01 04:40:00+03:00,7.6,3.6,47.75,68.4,41.75,3.3000000000000096,19.90176991150443
2019-11-01 04:44:00+03:00,7.55,3.6,47.9,68.5,41.8,3.3000000000000096,19.979646017699118
2019-11-01 04:48:00+03:00,7.55,3.55,47.8,68.5,41.7,3.3000000000000096,19.90176991150443
2019-11-01 04:52:00+03:00,7.5,3.5,47.9,68.5,41.75,3.3000000000000096,19.960176991150455
2019-11-01 04:56:00+03:00,7.6,3.6,47.9,68.5,41.8,3.3000000000000096,19.979646017699118
2019-11-01 05:00:00+03:00,7.55,3.55,47.9,68.5,41.8,3.3000000000000096,19.979646017699118
2019-11-01 05:04:00+03:00,7.5,3.5,47.85,68.5,41.8,3.3000000000000096,19.960176991150455
2019-11-01 05:08:00+03:00,7.5,3.5,47.8,68.5,41.9,3.3000000000000096,19.979646017699118
2019-11-01 05:12:00+03:00,7.5,3.5,47.85,68.5,41.9,3.3000000000000096,19.999115044247795
2019-11-01 05:16:00+03:00,7.5,3.5,47.85,68.5,41.9,3.60000000000002,20.299115044247806
2019-11-01 05:20:00+03:00,7.45,3.5,47.6,68.5,41.9,3.60000000000002,20.201769911504442
2019-11-01 05:24:00+03:00,7.45,3.5,47.5,68.5,41.9,3.6500000000000097,20.212831858407093
2019-11-01 05:28:00+03:00,7.6,3.55,47.4,68.5,41.9,3.6999999999999904,20.22389380530972
2019-11-01 05:32:00+03:00,7.55,3.5,47.2,68.6,41.8,3.6999999999999904,20.107079646017688
2019-11-01 05:36:00+03:00,7.5,3.5,47.4,68.6,41.75,3.8000000000000096,20.265486725663727
2019-11-01 05:40:00+03:00,7.5,3.5,47.35,68.6,41.65,3.8000000000000096,20.20707964601771
2019-11-01 05:44:00+03:00,7.45,3.5,47.25,68.65,41.55,3.8000000000000096,20.129203539823017
2019-11-01 05:48:00+03:00,7.45,3.5,47.2,68.65,41.5,3.8000000000000096,20.090265486725677
2019-11-01 05:52:00+03:00,7.5,3.5,46.95,68.6,41.4,3.8000000000000096,19.95398230088496
2019-11-01 05:56:00+03:00,7.45,3.5,47.0,68.6,41.4,3.89999999999998,20.073451327433613
2019-11-01 06:00:00+03:00,7.43333333333333,3.5,46.6666666666667,68.6666666666667,41.3,3.89999999999998,19.90471976401179
2019-11-01 06:04:00+03:00,7.5,3.5,46.9,68.7,41.3,3.89999999999998,19.995575221238912
2019-11-01 06:08:00+03:00,7.45,3.5,46.7,68.75,41.2,4.0,19.978761061946905
2019-11-01 06:12:00+03:00,7.4,3.4,47.05,68.8,41.2,4.0,20.115044247787612
2019-11-01 06:16:00+03:00,7.35,3.5,47.05,68.8,41.1,3.60000000000002,19.676106194690288
2019-11-01 06:20:00+03:00,7.45,3.6,47.35,68.8,41.1,3.60000000000002,19.79292035398232
2019-11-01 06:24:00+03:00,7.4,3.6,47.6,68.8,41.15,3.45000000000002,19.759734513274356
2019-11-01 06:28:00+03:00,7.4,3.55,47.5,68.8,41.2,3.3000000000000096,19.590265486725677
2019-11-01 06:32:00+03:00,7.4,3.6,47.95,68.8,41.3,3.3000000000000096,19.804424778761074
2019-11-01 06:36:00+03:00,7.4,3.6,48.15,68.8,41.45,3.10000000000002,19.740707964601786
2019-11-01 06:40:00+03:00,7.4,3.55,48.25,68.85,41.65,3.10000000000002,19.857522123893826
2019-11-01 06:44:00+03:00,7.4,3.6,48.45,68.9,41.75,3.10000000000002,19.97433628318586
2019-11-01 06:48:00+03:00,7.3,3.6,48.8,68.9,41.9,3.10000000000002,20.16902654867258
2019-11-01 06:52:00+03:00,7.35,3.6,48.85,68.9,42.1,3.10000000000002,20.26637168141595
